Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jun 12 2021 19:11:04 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-01,US,53682,50481,2324,5626827,5462242,28210,390717,402445,2593,null,null,2516,5462242,28889,2631
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1609,1605,4,311404,305066,477,35726,36178,63,null,null,4,305066,477,62
Admin,2021-01-02,US,252345,244664,2460,5879172,5706906,30670,406278,418724,2884,null,null,2471,5706906,31360,2924
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46500,45835,38,357904,350901,515,40954,41483,66,null,null,38,350901,515,66
Admin,2021-01-03,US,131049,124250,2233,6010221,5831156,32903,411002,424124,3149,null,null,2236,5831156,33596,3182
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32561,31876,57,390465,382777,572,44247,44856,73,null,null,57,382777,572,73
Admin,2021-01-04,US,634807,578316,43095,6645028,6409472,75998,413036,432113,8936,null,null,43123,6409472,76719,8972
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
Admin,2021-01-04,LTC,85886,84993,58,476351,467770,630,47918,48567,78,null,null,58,467770,630,78
Admin,2021-01-05,US,801453,703642,83512,7446481,7113114,159510,415557,445371,20308,null,null,83540,7113114,160259,20347
Report,2021-01-05,US,null,null,null,null,null,null,null,null,null,337114,357375,null,null,null,null
Admin,2021-01-05,LTC,96865,96270,103,573216,564040,733,50458,51031,82,null,null,103,564040,733,82
Admin,2021-01-06,US,996568,810465,167925,8443049,7923579,327435,416497,469399,43424,null,null,167975,7923579,328234,43469
Report,2021-01-06,US,null,null,null,null,null,null,null,null,null,600055,380018,null,null,null,null
Admin,2021-01-06,LTC,94899,94010,176,668115,658050,909,52955,53498,72,null,null,176,658050,909,72
Admin,2021-01-07,US,1133412,839147,271918,9576461,8762726,599353,478709,571902,81924,null,null,271936,8762726,600170,81971
Report,2021-01-07,US,null,null,null,null,null,null,null,null,null,730700,402507,null,null,null,null
Admin,2021-01-07,LTC,123195,122016,341,791310,780066,1250,68086,68787,111,null,null,341,780066,1250,111
Admin,2021-01-08,US,1198432,820709,354088,10774893,9583435,953441,588742,735438,132176,null,null,354118,9583435,954288,132199
Report,2021-01-08,US,null,null,null,null,null,null,null,null,null,870465,464784,null,null,null,null
Admin,2021-01-08,LTC,113948,111863,1249,905258,891929,2499,83838,84836,289,null,null,1249,891929,2499,288
Admin,2021-01-09,US,493750,360401,125417,11268643,9943836,1078858,605276,769924,149741,null,null,125423,9943836,1079711,149764
Report,2021-01-09,US,null,null,null,null,null,null,null,null,null,790484,536224,null,null,null,null
Admin,2021-01-09,LTC,50579,49665,337,955837,941594,2836,84385,85419,332,null,null,337,941594,2836,331
Admin,2021-01-10,US,240746,168949,67717,11509389,10112785,1146575,611661,785595,159096,null,null,67732,10112785,1147443,159121
Report,2021-01-10,US,null,null,null,null,null,null,null,null,null,727095,613626,null,null,null,null
Admin,2021-01-10,LTC,35531,35040,283,991368,976634,3119,84837,85843,364,null,null,283,976634,3119,363
Admin,2021-01-11,US,1037886,701966,315944,12547275,10814751,1462519,629326,843178,198074,null,null,315972,10814751,1463415,198099
Report,2021-01-11,US,null,null,null,null,null,null,null,null,null,419440,639336,null,null,null,null
Admin,2021-01-11,LTC,143411,131138,11375,1134779,1107772,14494,91429,94061,1981,null,null,11375,1107772,14494,1980
Admin,2021-01-12,US,1216780,886822,307736,13764055,11701573,1770255,655494,902510,230106,null,null,307772,11701573,1771187,230132
Report,2021-01-12,US,null,null,null,null,null,null,null,null,null,516858,665014,null,null,null,null
Admin,2021-01-12,LTC,156456,142112,13411,1291235,1249884,27905,97978,102574,3882,null,null,13411,1249884,27905,3881
Admin,2021-01-13,US,1290063,1003925,265497,15054118,12705498,2035752,683131,944438,244045,null,null,265523,12705498,2036710,244068
Report,2021-01-13,US,null,null,null,null,null,null,null,null,null,987485,720361,null,null,null,null
Admin,2021-01-13,LTC,159898,143241,15805,1451133,1393125,43710,105011,111859,6114,null,null,15805,1393125,43710,6114
Admin,2021-01-14,US,1279902,1130456,130886,16334020,13835954,2166638,724747,965365,223898,null,null,130908,13835954,2167618,223921
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141347,137735,2993,1592480,1530860,46703,107256,114452,6493,null,null,2993,1530860,46703,6493
Admin,2021-01-15,US,1225670,1095047,115653,17559690,14931001,2282291,763938,969256,189836,null,null,115699,14931001,2283317,189861
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112913,110407,1463,1705393,1641267,48166,107048,114305,6524,null,null,1463,1641267,48166,6523
Admin,2021-01-16,US,635979,559305,69045,18195669,15490306,2351336,792353,989575,181783,null,null,69062,15490306,2352379,181809
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64401,56659,7070,1769794,1697926,55236,108047,116279,7486,null,null,7070,1697926,55236,7485
Admin,2021-01-17,US,295016,252094,40170,18490685,15742400,2391506,804231,997328,177847,null,null,40175,15742400,2392554,177873
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49130,43227,5655,1818924,1741153,60891,109217,118222,8253,null,null,5655,1741153,60891,8253
Admin,2021-01-18,US,850824,621540,219461,19341509,16363940,2610967,792741,970604,164064,null,null,219501,16363940,2612055,164091
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170480,129226,40652,1989404,1870379,101543,108944,122089,12436,null,null,40652,1870379,101543,12435
Admin,2021-01-19,US,1309309,950437,339961,20650818,17314377,2950928,801829,983823,168668,null,null,339980,17314377,2952035,168692
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,2021-01-19,LTC,180364,131948,47715,2169768,2002327,149258,107492,125504,17336,null,null,47715,2002327,149258,17336
Admin,2021-01-20,US,1578036,1149596,407346,22228854,18463973,3358274,822639,1024962,188932,null,null,407381,18463973,3359416,188958
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,191055,146758,43571,2360823,2149085,192829,107994,129955,21303,null,null,43571,2149085,192829,21302
Admin,2021-01-21,US,1593117,1309651,260917,23821971,19773624,3619191,848239,1069707,207508,null,null,260955,19773624,3620371,207536
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144291,132712,10998,2505114,2281797,203827,107277,130376,22446,null,null,10998,2281797,203827,22446
Admin,2021-01-22,US,1588389,1367753,200592,25410360,21141377,3819783,887197,1121524,219642,null,null,200612,21141377,3820983,219666
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,127095,122143,4473,2632209,2403940,208300,108953,132402,22876,null,null,4473,2403940,208300,22876
Admin,2021-01-23,US,890179,732951,144097,26300539,21874328,3963880,912003,1157838,230363,null,null,144106,21874328,3965089,230387
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96563,68050,28038,2728772,2471990,236338,110581,136996,25872,null,null,28038,2471990,236338,25871
Admin,2021-01-24,US,385863,296538,83677,26686402,22170866,4047557,918352,1170816,236579,null,null,83685,22170866,4048774,236602
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63360,43661,19368,2792132,2515651,255706,110643,139029,27831,null,null,19369,2515651,255707,27830
Admin,2021-01-25,US,1322136,838601,464082,28008538,23009467,4511639,949361,1238147,271525,null,null,464104,23009467,4512878,271546
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184839,125942,57833,2976971,2641593,313539,110173,141081,30285,null,null,57833,2641593,313540,30285
Admin,2021-01-26,US,1622966,1040614,557980,29631504,24050081,5069619,962243,1282955,302670,null,null,558006,24050081,5070884,302692
Report,2021-01-26,US,null,null,null,null,null,null,null,null,null,806751,1065290,null,null,null,null
Admin,2021-01-26,LTC,205088,133955,70414,3182059,2775548,383953,110460,144613,33528,null,null,70414,2775548,383954,33528
Admin,2021-01-27,US,1888212,1233961,622919,31519716,25284042,5692538,974296,1327266,333466,null,null,622941,25284042,5693825,333487
Report,2021-01-27,US,null,null,null,null,null,null,null,null,null,1111640,1161050,null,null,null,null
Admin,2021-01-27,LTC,212112,140792,70646,3394171,2916340,454599,109608,147621,37396,null,null,70646,2916340,454600,37395
Admin,2021-01-28,US,1911054,1353375,532768,33430770,26637417,6225306,980542,1372685,372302,null,null,532807,26637417,6226632,372323
Report,2021-01-28,US,null,null,null,null,null,null,null,null,null,1541048,1235330,null,null,null,null
Admin,2021-01-28,LTC,190773,118655,71416,3584944,3034995,526015,107600,154261,46027,null,null,71416,3034995,526016,46027
Admin,2021-01-29,US,1859191,1345859,474000,35289961,27983276,6699306,977414,1411371,411360,null,null,474027,27983276,6700659,411382
Report,2021-01-29,US,null,null,null,null,null,null,null,null,null,1690979,1253815,null,null,null,null
Admin,2021-01-29,LTC,177874,114183,63182,3762818,3149178,589197,106463,161515,54414,null,null,63182,3149178,589198,54414
Admin,2021-01-30,US,999410,753004,231230,36289371,28736280,6930536,980279,1426976,423808,null,null,231232,28736280,6931891,423828
Report,2021-01-30,US,null,null,null,null,null,null,null,null,null,1693241,1291416,null,null,null,null
Admin,2021-01-30,LTC,96431,61035,34971,3859249,3210213,624168,105460,161496,55404,null,null,34971,3210213,624169,55404
Admin,2021-01-31,US,448177,321113,119039,36737548,29057393,7049575,983790,1435878,428860,null,null,119055,29057393,7050946,428881
Report,2021-01-31,US,null,null,null,null,null,null,null,null,null,1545397,1324949,null,null,null,null
Admin,2021-01-31,LTC,67516,42703,24486,3926765,3252916,648654,105324,162090,56135,null,null,24486,3252916,648655,56135
Admin,2021-02-01,US,1288158,729078,533873,38025706,29786471,7583448,968143,1431024,438830,null,null,534111,29786471,7585057,438882
Report,2021-02-01,US,null,null,null,null,null,null,null,null,null,1099103,1355451,null,null,null,null
Admin,2021-02-01,LTC,174353,88380,85064,4101118,3341296,733718,99958,160592,60026,null,null,85064,3341296,733719,60025
Admin,2021-02-02,US,1633337,945907,664027,39659043,30732378,8247475,954614,1432505,453979,null,null,664102,30732378,8249159,454039
Report,2021-02-02,US,null,null,null,null,null,null,null,null,null,558458,1319981,null,null,null,null
Admin,2021-02-02,LTC,188423,96503,90457,4289541,3437799,824175,94607,158211,62889,null,null,90457,3437799,824176,62888
Admin,2021-02-03,US,2084624,1246609,804313,41743667,31978987,9051788,956421,1460564,479893,null,null,804370,31978987,9053529,479957
Report,2021-02-03,US,null,null,null,null,null,null,null,null,null,1097394,1317946,null,null,null,null
Admin,2021-02-03,LTC,199889,101269,96857,4489430,3539068,921032,88961,156465,66633,null,null,96857,3539068,921033,66633
Admin,2021-02-04,US,2278619,1373092,875062,44022286,33352079,9926850,959237,1513073,528792,null,null,875142,33352079,9928671,528862
Report,2021-02-04,US,null,null,null,null,null,null,null,null,null,1325456,1287147,null,null,null,null
Admin,2021-02-04,LTC,203855,99612,103379,4693285,3638680,1024411,86241,158334,71199,null,null,103379,3638680,1024412,71199
Admin,2021-02-05,US,2283551,1337940,918279,46305837,34690019,10845129,958106,1573696,592260,null,null,918344,34690019,10847015,592336
Report,2021-02-05,US,null,null,null,null,null,null,null,null,null,1615502,1276364,null,null,null,null
Admin,2021-02-05,LTC,208593,110407,96628,4901878,3749087,1121039,85701,162722,75977,null,null,96628,3749087,1121040,75977
Admin,2021-02-06,US,1268045,843302,405937,47573882,35533321,11251066,971006,1612073,617219,null,null,405978,35533321,11252993,617300
Report,2021-02-06,US,null,null,null,null,null,null,null,null,null,2218752,1351437,null,null,null,null
Admin,2021-02-06,LTC,111105,60677,49644,5012983,3809764,1170683,85650,164819,78074,null,null,49645,3809764,1170685,78073
Admin,2021-02-07,US,437045,277481,150348,48010927,35810802,11401414,964773,1610482,621691,null,null,150371,35810802,11403364,621774
Report,2021-02-07,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
Admin,2021-02-07,LTC,65525,30170,34798,5078508,3839934,1205481,83860,164534,79547,null,null,34798,3839934,1205483,79546
Admin,2021-02-08,US,1514992,821876,670520,49525919,36632678,12071934,978030,1642887,641212,null,null,670597,36632678,12073961,641272
Report,2021-02-08,US,null,null,null,null,null,null,null,null,null,1206680,1456459,null,null,null,null
Admin,2021-02-08,LTC,161790,73285,87117,5240298,3913219,1292598,81703,162740,79840,null,null,87117,3913219,1292600,79840
Admin,2021-02-09,US,1900444,1023176,854382,51426363,37655854,12926316,989068,1681045,668406,null,null,854462,37655854,12928423,668466
Report,2021-02-09,US,null,null,null,null,null,null,null,null,null,788573,1489333,null,null,null,null
Admin,2021-02-09,LTC,169362,74811,93142,5409660,3988030,1385740,78604,160017,80224,null,null,93142,3988030,1385742,80223
Admin,2021-02-10,US,2219096,1204956,990817,53645459,38860810,13917133,983118,1700256,695049,null,null,990898,38860810,13919321,695113
Report,2021-02-10,US,null,null,null,null,null,null,null,null,null,1563780,1555959,null,null,null,null
Admin,2021-02-10,LTC,162460,61127,99426,5572120,4049157,1485166,72870,154670,80591,null,null,99426,4049157,1485168,80590
Admin,2021-02-11,US,2324731,1254337,1044582,55970190,40115147,14961715,966153,1706843,719266,null,null,1044669,40115147,14963990,719331
Report,2021-02-11,US,null,null,null,null,null,null,null,null,null,1620300,1598080,null,null,null,null
Admin,2021-02-11,LTC,159944,62539,96095,5732064,4111696,1581261,67574,148397,79550,null,null,96095,4111696,1581263,79550
Admin,2021-02-12,US,2505795,1354811,1116679,58475985,41469958,16078394,968563,1738592,747609,null,null,1116773,41469958,16080763,747678
Report,2021-02-12,US,null,null,null,null,null,null,null,null,null,2020288,1655907,null,null,null,null
Admin,2021-02-12,LTC,171562,84298,86178,5903626,4195994,1667439,63844,143106,78057,null,null,86178,4195994,1667441,78057
Admin,2021-02-13,US,1433985,852303,559993,59909970,42322261,16638387,969849,1762298,769617,null,null,560050,42322261,16640813,769688
Report,2021-02-13,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
Admin,2021-02-13,LTC,85414,42609,42325,5989040,4238603,1709764,61263,139436,77012,null,null,42325,4238603,1709766,77011
Admin,2021-02-14,US,568717,335196,222201,60478687,42657457,16860588,978094,1781108,779882,null,null,222219,42657457,16863032,779952
Report,2021-02-14,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2021-02-14,LTC,53855,25035,28022,6042895,4263638,1737786,60529,137769,76044,null,null,28022,4263638,1737788,76043
Admin,2021-02-15,US,1130980,602111,506424,61609667,43259568,17367012,946699,1726249,756440,null,null,506517,43259568,17369549,756512
Report,2021-02-15,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
Admin,2021-02-15,LTC,105800,38401,66653,6148695,4302039,1804439,55546,129771,73120,null,null,66653,4302039,1804441,73120
Admin,2021-02-16,US,1578263,790166,761376,63187930,44049734,18128388,913411,1680223,743153,null,null,761436,44049734,18130985,743223
Report,2021-02-16,US,null,null,null,null,null,null,null,null,null,959794,1716311,null,null,null,null
Admin,2021-02-16,LTC,113395,42346,70097,6262090,4344385,1874536,50908,121775,69828,null,null,70097,4344385,1874538,69828
Admin,2021-02-17,US,1915427,924674,963863,65103357,44974408,19092251,873371,1636842,739303,null,null,963947,44974408,19094932,739373
Report,2021-02-17,US,null,null,null,null,null,null,null,null,null,1061463,1644551,null,null,null,null
Admin,2021-02-17,LTC,117947,40629,75974,6380037,4385014,1950510,47980,115416,66478,null,null,75974,4385014,1950512,66477
Admin,2021-02-18,US,1794052,822074,941133,66897409,45796482,20033384,811619,1561031,724524,null,null,941226,45796482,20036158,724595
Report,2021-02-18,US,null,null,null,null,null,null,null,null,null,1455940,1621071,null,null,null,null
Admin,2021-02-18,LTC,111714,36785,73354,6491751,4421799,2023864,44300,108526,63229,null,null,73354,4421799,2023866,63229
Admin,2021-02-19,US,1903501,820461,1051880,68800910,46616943,21085264,735284,1474989,715267,null,null,1052048,46616943,21088206,715349
Report,2021-02-19,US,null,null,null,null,null,null,null,null,null,1847276,1596355,null,null,null,null
Admin,2021-02-19,LTC,111992,37375,73203,6603743,4459174,2097067,37597,100016,61375,null,null,73203,4459174,2097069,61375
Admin,2021-02-20,US,1273999,595502,656730,70074909,47212445,21741994,698598,1452134,729087,null,null,656785,47212445,21744991,729168
Report,2021-02-20,US,null,null,null,null,null,null,null,null,null,1704457,1521088,null,null,null,null
