Trends in Number of COVID-19 Vaccinations in the US
Date generated: Sat Jun 12 2021 19:11:04 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-02-27,LTC,42522,13164,28848,7223558,4666202,2503572,26809,79880,52259,null,null,28848,4666202,2503574,52259
Admin,2021-02-28,US,820269,527445,275656,84967520,54986963,28613606,1074941,2045695,937367,null,null,275735,54986963,28617695,937516
Report,2021-02-28,US,null,null,null,null,null,null,null,null,null,2429823,1735053,null,null,null,null
Admin,2021-02-28,LTC,21699,6250,15142,7245257,4672452,2518714,25870,76927,50272,null,null,15142,4672452,2518716,50272
Admin,2021-03-01,US,1869269,1107553,724741,86836789,56094516,29338347,1145512,2111490,931653,null,null,726323,56094516,29344018,932014
Report,2021-03-01,US,null,null,null,null,null,null,null,null,null,1663984,1817502,null,null,null,null
Admin,2021-03-01,LTC,37790,12802,24594,7283047,4685254,2543308,23525,68830,44590,null,null,24594,4685254,2543310,44589
Admin,2021-03-02,US,2360808,1424670,906824,89197597,57519186,30245171,1225694,2180378,921336,null,null,907689,57519186,30251707,921806
Report,2021-03-02,US,null,null,null,null,null,null,null,null,null,1731614,1942788,null,null,null,null
Admin,2021-03-02,LTC,40857,14690,25819,7323904,4699944,2569127,21351,61311,39338,null,null,25822,4699944,2569132,39338
Admin,2021-03-03,US,2807584,1706847,1064596,92005181,59226033,31309767,1293759,2233772,906688,null,null,1074961,59226033,31326668,908620
Report,2021-03-03,US,null,null,null,null,null,null,null,null,null,1908873,2010790,null,null,null,null
Admin,2021-03-03,LTC,41377,12883,28187,7365281,4712827,2597314,17752,52158,33850,null,null,28189,4712827,2597321,33850
Admin,2021-03-04,US,3090137,1915622,1136914,95095318,61141655,32446681,1351633,2270484,886463,null,null,1184953,61141655,32511621,895227
Report,2021-03-04,US,null,null,null,null,null,null,null,null,null,2032374,2042676,null,null,null,null
Admin,2021-03-04,LTC,40839,11593,28839,7406120,4724420,2626153,13402,42202,28324,null,null,28839,4724420,2626160,28324
Admin,2021-03-05,US,3120836,1972598,1119353,98216154,63114253,33566034,1397454,2286568,858427,null,null,1242694,63114253,33754315,884793
Report,2021-03-05,US,null,null,null,null,null,null,null,null,null,2435246,2079147,null,null,null,null
Admin,2021-03-05,LTC,39836,12748,26603,7445956,4737168,2652756,12019,37845,25433,null,null,26610,4737168,2652770,25434
Admin,2021-03-06,US,1997308,1325807,654456,100213462,64440060,34220490,1425792,2295173,840363,null,null,829963,64440060,34584278,891759
Report,2021-03-06,US,null,null,null,null,null,null,null,null,null,2904229,2158020,null,null,null,null
Admin,2021-03-06,LTC,16642,5110,11347,7462598,4742278,2664103,10868,34148,22933,null,null,11406,4742278,2664176,22943
Admin,2021-03-07,US,892106,660111,223596,101105568,65100171,34444086,1444744,2305435,832926,null,null,325612,65100171,34909890,898885
Report,2021-03-07,US,null,null,null,null,null,null,null,null,null,2439427,2159392,null,null,null,null
Admin,2021-03-07,LTC,10727,3315,7168,7473325,4745593,2671271,10449,32581,21794,null,null,7170,4745593,2671346,21804
Admin,2021-03-08,US,2077182,1444532,613963,103182750,66544703,35058049,1492884,2335137,817100,null,null,809416,66544703,35719306,910755
Report,2021-03-08,US,null,null,null,null,null,null,null,null,null,1738102,2169981,null,null,null,null
Admin,2021-03-08,LTC,24156,7520,16367,7497481,4753113,2687638,9694,30633,20619,null,null,16369,4753113,2687715,20629
Admin,2021-03-09,US,2622609,1777257,826188,105805359,68321960,35884237,1543253,2372537,805581,null,null,1034158,68321960,36753464,928822
Report,2021-03-09,US,null,null,null,null,null,null,null,null,null,1602746,2151571,null,null,null,null
Admin,2021-03-09,LTC,27139,9336,17606,7524620,4762449,2705244,8929,28673,19445,null,null,17607,4762449,2705322,19455
Admin,2021-03-10,US,3046718,2040159,981851,108852077,70362119,36866088,1590869,2406699,793760,null,null,1223045,70362119,37976509,949977
Report,2021-03-10,US,null,null,null,null,null,null,null,null,null,2028692,2168688,null,null,null,null
Admin,2021-03-10,LTC,23739,7663,15868,7548359,4770112,2721112,8184,26154,17685,null,null,15870,4770112,2721192,17695
Admin,2021-03-11,US,3375853,2256102,1087062,112227930,72618221,37953150,1639509,2447516,786638,null,null,1355994,72618221,39332503,974411
Report,2021-03-11,US,null,null,null,null,null,null,null,null,null,2482603,2233006,null,null,null,null
Admin,2021-03-11,LTC,22652,6959,15459,7571011,4777071,2736571,7522,23555,15774,null,null,15465,4777071,2736657,15785
Admin,2021-03-12,US,3347120,2093067,1210102,115575050,74711288,39163252,1656719,2479842,799603,null,null,1471167,74711288,40803670,1007050
Report,2021-03-12,US,null,null,null,null,null,null,null,null,null,2924112,2302844,null,null,null,null
Admin,2021-03-12,LTC,22309,7506,14503,7593320,4784577,2751074,6773,21052,14045,null,null,14515,4784577,2751172,14057
Admin,2021-03-13,US,2142344,1377800,739491,117717394,76089088,39902743,1664147,2500561,811750,null,null,983728,76089088,41787398,1029017
Report,2021-03-13,US,null,null,null,null,null,null,null,null,null,3234490,2350025,null,null,null,null
Admin,2021-03-13,LTC,10309,2660,7546,7603629,4787237,2758620,6423,20147,13502,null,null,7548,4787237,2758720,13506
Admin,2021-03-14,US,947226,636493,295637,118664620,76725581,40198380,1660773,2508436,822042,null,null,406636,76725581,42194034,1040592
Report,2021-03-14,US,null,null,null,null,null,null,null,null,null,2697779,2386932,null,null,null,null
Admin,2021-03-14,LTC,7926,1758,6079,7611555,4788995,2764699,6200,19747,13347,null,null,6082,4788995,2764802,13350
Admin,2021-03-15,US,2187087,1458447,700020,120851707,78184028,40898400,1662761,2524136,834336,null,null,831484,78184028,43025518,1043744
Report,2021-03-15,US,null,null,null,null,null,null,null,null,null,2021586,2427430,null,null,null,null
Admin,2021-03-15,LTC,15066,4391,10036,7626621,4793386,2774735,5753,18448,12442,null,null,10045,4793386,2774847,12447
Admin,2021-03-16,US,2791437,1898606,870706,123643144,80082634,41769106,1680096,2548255,840696,null,null,1003779,80082634,44029297,1039404
Report,2021-03-16,US,null,null,null,null,null,null,null,null,null,1655996,2435037,null,null,null,null
Admin,2021-03-16,LTC,14427,4925,9335,7641048,4798311,2784070,5123,16632,11261,null,null,9368,4798311,2784215,11270
Admin,2021-03-17,US,3078727,2104216,951825,126721871,82186850,42720931,1689247,2552827,836406,null,null,1083892,82186850,45113189,1019525
Report,2021-03-17,US,null,null,null,null,null,null,null,null,null,2299771,2473762,null,null,null,null
Admin,2021-03-17,LTC,15029,4980,9933,7656077,4803291,2794003,4740,15388,10413,null,null,9935,4803291,2794150,10422
Admin,2021-03-18,US,3306591,2266171,1017401,130028462,84453021,43738332,1690686,2542933,826455,null,null,1158313,84453021,46271502,991285
Report,2021-03-18,US,null,null,null,null,null,null,null,null,null,2692381,2503731,null,null,null,null
Admin,2021-03-18,LTC,14928,4866,9970,7671005,4808157,2803973,4441,14284,9629,null,null,9987,4808157,2804137,9640
Admin,2021-03-19,US,3223177,2184130,1013980,133251639,86637151,44752312,1703695,2525227,798437,null,null,1166125,86637151,47437627,947708
Report,2021-03-19,US,null,null,null,null,null,null,null,null,null,2583810,2455116,null,null,null,null
Admin,2021-03-19,LTC,13899,4441,9292,7684904,4812598,2813265,4003,13083,8884,null,null,9319,4812598,2813456,8897
Admin,2021-03-20,US,2091912,1386700,689792,135343551,88023851,45442104,1704966,2518022,791337,null,null,829156,88023851,48266783,925626
Report,2021-03-20,US,null,null,null,null,null,null,null,null,null,3127679,2439857,null,null,null,null
Admin,2021-03-20,LTC,6760,1615,5051,7691664,4814213,2818316,3854,12576,8528,null,null,5054,4814213,2818510,8541
Admin,2021-03-21,US,976024,666432,301058,136319575,88690283,45743162,1709243,2522136,792112,null,null,350745,88690283,48617528,917642
Report,2021-03-21,US,null,null,null,null,null,null,null,null,null,3039915,2488734,null,null,null,null
Admin,2021-03-21,LTC,3411,999,2383,7695075,4815212,2820699,3745,11931,8000,null,null,2384,4815212,2820894,8013
Admin,2021-03-22,US,2265570,1569761,678928,138585145,90260044,46422090,1725145,2533348,789099,null,null,763919,90260044,49381447,907989
Report,2021-03-22,US,null,null,null,null,null,null,null,null,null,2028324,2489697,null,null,null,null
Admin,2021-03-22,LTC,7961,2778,5088,7703036,4817990,2825787,3515,10916,7293,null,null,5114,4817990,2826008,7308
Admin,2021-03-23,US,2964943,1958224,984777,141550088,92218268,47406867,1733662,2558134,805394,null,null,1092668,92218268,50474115,920688
Report,2021-03-23,US,null,null,null,null,null,null,null,null,null,1707293,2497025,null,null,null,null
Admin,2021-03-23,LTC,7176,2863,4283,7710212,4820853,2830070,3220,9880,6571,null,null,4379,4820853,2830387,6596
Admin,2021-03-24,US,3448840,2183903,1239707,144998928,94402171,48646574,1745046,2611008,846520,null,null,1356318,94402171,51830433,959606
Report,2021-03-24,US,null,null,null,null,null,null,null,null,null,2256824,2490889,null,null,null,null
Admin,2021-03-24,LTC,7275,2986,4246,7717487,4823839,2834316,2935,8772,5759,null,null,4660,4823839,2835047,5842
Admin,2021-03-25,US,3719956,2245746,1445420,148718884,96647917,50091994,1742128,2670060,907666,null,null,1571889,96647917,53402322,1018688
Report,2021-03-25,US,null,null,null,null,null,null,null,null,null,2831442,2510755,null,null,null,null
Admin,2021-03-25,LTC,7680,3138,4468,7725167,4826977,2838784,2689,7737,4973,null,null,4737,4826977,2839784,5092
Admin,2021-03-26,US,3705863,2085360,1593585,152424747,98733277,51685579,1728018,2739015,990467,null,null,1718825,98733277,55121147,1097645
Report,2021-03-26,US,null,null,null,null,null,null,null,null,null,3379393,2624410,null,null,null,null
Admin,2021-03-26,LTC,6759,3116,3607,7731926,4830093,2842391,2499,6717,4161,null,null,3811,4830093,2843595,4305
Admin,2021-03-27,US,2406598,1357552,1030587,154831345,100090829,52716166,1723854,2783970,1039152,null,null,1120064,100090829,56241211,1139204
Report,2021-03-27,US,null,null,null,null,null,null,null,null,null,3496047,2677034,null,null,null,null
Admin,2021-03-27,LTC,1600,396,1197,7733526,4830489,2843588,2325,5980,3610,null,null,1213,4830489,2844808,3756
Admin,2021-03-28,US,1167935,661240,493946,155999280,100752069,53210112,1723112,2811386,1066707,null,null,523990,100752069,56765201,1163953
Report,2021-03-28,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,2021-03-28,LTC,1068,286,773,7734594,4830775,2844361,2223,5645,3380,null,null,773,4830775,2845581,3526
Admin,2021-03-29,US,2713090,1579270,1111993,158712370,102331339,54322105,1724471,2875317,1128574,null,null,1196791,102331339,57961992,1225792
Report,2021-03-29,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,2021-03-29,LTC,4151,1958,2172,7738745,4832733,2846533,2106,5101,2964,null,null,2289,4832733,2847870,3123
Admin,2021-03-30,US,3440610,1984152,1432608,162152980,104315491,55754713,1728175,2943270,1192549,null,null,1556649,104315491,59518641,1292075
Report,2021-03-30,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,2021-03-30,LTC,4190,2061,2120,7742935,4834794,2848653,1992,4674,2655,null,null,2576,4834794,2850446,2865
Admin,2021-03-31,US,4026428,2376717,1622441,166179408,106692208,57377154,1755720,3025782,1247226,null,null,1843126,106692208,61361767,1361619
Report,2021-03-31,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,2021-03-31,LTC,4048,2309,1723,7746983,4837103,2850376,1895,4213,2294,null,null,2331,4837103,2852777,2532
Admin,2021-04-01,US,4330807,2472017,1823439,170510215,109164225,59200593,1788044,3113047,1301228,null,null,2106479,109164225,63468246,1437989
Report,2021-04-01,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,2021-04-01,LTC,3720,2362,1349,7750703,4839465,2851725,1784,3648,1849,null,null,1862,4839465,2854639,2122
Admin,2021-04-02,US,3535838,2034396,1469912,174046053,111198621,60670505,1780763,3088758,1283561,null,null,1725784,111198621,65194030,1438983
Report,2021-04-02,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,2021-04-02,LTC,2745,1349,1374,7753448,4840814,2853099,1532,3074,1530,null,null,1714,4840814,2856353,1822
Admin,2021-04-03,US,2236841,1311257,907843,176282894,112509878,61578348,1774150,3064507,1266026,null,null,1105118,112509878,66299148,1436848
Report,2021-04-03,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,2021-04-03,LTC,716,293,419,7754164,4841107,2853518,1517,2948,1419,null,null,419,4841107,2856772,1709
Admin,2021-04-04,US,723779,424117,291973,177006673,112933995,61870321,1740275,3001056,1237173,null,null,346654,112933995,66645802,1411514
Report,2021-04-04,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,2021-04-04,LTC,179,86,93,7754343,4841193,2853611,1488,2821,1321,null,null,94,4841193,2856866,1612
Admin,2021-04-05,US,2975721,1705216,1249598,179982394,114639211,63119919,1758267,3038574,1256831,null,null,1510891,114639211,68156693,1456385
Report,2021-04-05,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,2021-04-05,LTC,2725,1808,895,7757068,4843001,2854506,1467,2617,1139,null,null,1135,4843001,2858001,1447
Admin,2021-04-06,US,3806815,2235445,1547451,183789209,116874656,64667370,1794166,3090889,1273237,null,null,1967426,116874656,70124119,1515068
Report,2021-04-06,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,2021-04-06,LTC,3687,2284,1393,7760755,4845285,2855899,1499,2545,1035,null,null,2194,4845285,2860195,1392
Admin,2021-04-07,US,4112783,2458841,1629939,187901992,119333497,66297309,1805898,3103226,1274308,null,null,2164542,119333497,72288661,1560984
Report,2021-04-07,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,2021-04-07,LTC,3900,2707,1170,7764655,4847992,2857069,1556,2524,956,null,null,1889,4847992,2862084,1329
Admin,2021-04-08,US,4126656,2404101,1696599,192028648,121737598,67993908,1796196,3074061,1256188,null,null,2277414,121737598,74566075,1585404
Report,2021-04-08,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,2021-04-08,LTC,3436,2229,1189,7768091,4850221,2858258,1537,2484,933,null,null,2025,4850221,2864109,1352
Admin,2021-04-09,US,4170254,2401803,1736713,196198902,124139401,69730621,1848683,3164692,1294302,null,null,2327192,124139401,76893267,1671319
Report,2021-04-09,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,2021-04-09,LTC,3344,2272,1053,7771435,4852493,2859311,1668,2569,887,null,null,1873,4852493,2865982,1375
Admin,2021-04-10,US,2792567,1696247,1078178,198991469,125835648,70808799,1903681,3244082,1318636,null,null,1589974,125835648,78483241,1740584
Report,2021-04-10,US,null,null,null,null,null,null,null,null,null,4629928,3111327,null,null,null,null
Admin,2021-04-10,LTC,309,116,190,7771744,4852609,2859501,1643,2511,855,null,null,191,4852609,2866173,1343
Admin,2021-04-11,US,1354753,824320,521441,200346222,126659968,71330240,1960853,3334221,1351417,null,null,765457,126659968,79248698,1800413
Report,2021-04-11,US,null,null,null,null,null,null,null,null,null,3579422,3141912,null,null,null,null
Admin,2021-04-11,LTC,411,80,329,7772155,4852689,2859830,1642,2544,888,null,null,340,4852689,2866513,1378
Admin,2021-04-12,US,2900596,1616778,1265002,203246818,128276746,72595242,1948219,3323489,1353618,null,null,1631991,128276746,80880689,1817713
Report,2021-04-12,US,null,null,null,null,null,null,null,null,null,2644914,3214893,null,null,null,null
Admin,2021-04-12,LTC,2370,1624,728,7774525,4854313,2860558,1616,2493,865,null,null,1212,4854313,2867725,1389
Admin,2021-04-13,US,3362300,1727924,1613428,206609118,130004670,74208670,1875716,3259987,1363043,null,null,1636631,130004670,82517320,1770457
Report,2021-04-13,US,null,null,null,null,null,null,null,null,null,2590736,3384387,null,null,null,null
Admin,2021-04-13,LTC,2370,1491,862,7776895,4855804,2861420,1503,2305,789,null,null,862,4855804,2868587,1198
Admin,2021-04-14,US,3577532,1726479,1830597,210186650,131731149,76039267,1771093,3183522,1391708,null,null,1833956,131731149,84351276,1723230
Report,2021-04-14,US,null,null,null,null,null,null,null,null,null,2509055,3330740,null,null,null,null
Admin,2021-04-14,LTC,1750,1185,560,7778645,4856989,2861980,1285,1998,702,null,null,560,4856989,2869147,1009
Admin,2021-04-15,US,3606409,1736232,1848327,213793059,133467381,77887594,1675683,3109201,1413384,null,null,1850323,133467381,86201599,1662217
Report,2021-04-15,US,null,null,null,null,null,null,null,null,null,3525204,3348189,null,null,null,null
Admin,2021-04-15,LTC,2916,1862,1052,7781561,4858851,2863032,1233,1924,682,null,null,1052,4858851,2870199,870
Admin,2021-04-16,US,3489066,1630685,1836036,217282125,135098066,79723630,1565524,3011889,1427573,null,null,1837803,135098066,88039402,1592305
Report,2021-04-16,US,null,null,null,null,null,null,null,null,null,3965883,3349306,null,null,null,null
Admin,2021-04-16,LTC,2086,1183,885,7783647,4860034,2863917,1077,1744,658,null,null,886,4860034,2871085,729
Admin,2021-04-17,US,2288558,1155071,1122661,219570683,136253137,80846291,1488213,2939887,1433927,null,null,1123145,136253137,89162547,1525615
Report,2021-04-17,US,null,null,null,null,null,null,null,null,null,3588990,3200601,null,null,null,null
Admin,2021-04-17,LTC,140,69,70,7783787,4860103,2863987,1071,1720,641,null,null,70,4860103,2871155,711
Admin,2021-04-18,US,1048748,516001,528000,220619431,136769138,81374291,1444167,2896172,1434864,null,null,528308,136769138,89690855,1491736
Report,2021-04-18,US,null,null,null,null,null,null,null,null,null,3534901,3194240,null,null,null,null
Admin,2021-04-18,LTC,93,38,55,7783880,4860141,2864042,1065,1675,602,null,null,55,4860141,2871210,671
Admin,2021-04-19,US,2467385,1075942,1376454,223086816,137845080,82750745,1366905,2834285,1450786,null,null,1377922,137845080,91068777,1455441
Report,2021-04-19,US,null,null,null,null,null,null,null,null,null,2174495,3127038,null,null,null,null
Admin,2021-04-19,LTC,1627,1157,468,7785507,4861298,2864510,998,1568,565,null,null,468,4861298,2871678,564
Admin,2021-04-20,US,3076465,1346662,1712333,226163281,139191742,84463078,1312439,2793451,1464915,null,null,1713210,139191742,92781987,1466381
Report,2021-04-20,US,null,null,null,null,null,null,null,null,null,1806929,3015065,null,null,null,null
Admin,2021-04-20,LTC,2244,1878,365,7787751,4863176,2864875,1053,1550,494,null,null,365,4863176,2872043,493
Admin,2021-04-21,US,3232416,1319775,1895058,229395697,140511517,86358136,1254338,2744149,1474124,null,null,1895945,140511517,94677932,1475236
Report,2021-04-21,US,null,null,null,null,null,null,null,null,null,2563671,3022868,null,null,null,null
Admin,2021-04-21,LTC,2356,1587,753,7790107,4864763,2865628,1111,1637,521,null,null,753,4864763,2872796,521
Admin,2021-04-22,US,3313830,1369061,1928384,232709527,141880578,88286520,1201885,2702352,1485561,null,null,1929098,141880578,96607030,1486490
Report,2021-04-22,US,null,null,null,null,null,null,null,null,null,2995734,2947229,null,null,null,null
Admin,2021-04-22,LTC,2349,1671,668,7792456,4866434,2866296,1083,1556,466,null,null,668,4866434,2873464,466
Admin,2021-04-23,US,3109614,1311936,1779518,235819141,143192514,90066038,1156350,2648145,1477487,null,null,1780230,143192514,98387260,1478265
Report,2021-04-23,US,null,null,null,null,null,null,null,null,null,3374587,2862758,null,null,null,null
Admin,2021-04-23,LTC,1219,783,433,7793675,4867217,2866729,1026,1432,402,null,null,433,4867217,2873897,401
Admin,2021-04-24,US,2118512,985020,1123230,237937653,144177534,91189268,1132057,2623852,1477568,null,null,1126874,144177534,99514134,1478798
Report,2021-04-24,US,null,null,null,null,null,null,null,null,null,3318230,2824078,null,null,null,null
Admin,2021-04-24,LTC,93,37,55,7793768,4867254,2866784,1022,1425,400,null,null,55,4867254,2873952,399
Admin,2021-04-25,US,949965,485192,460317,238887618,144662726,91649585,1127655,2609741,1467899,null,null,464830,144662726,99978964,1469729
Report,2021-04-25,US,null,null,null,null,null,null,null,null,null,3020948,2750656,null,null,null,null
Admin,2021-04-25,LTC,71,18,44,7793839,4867272,2866828,1019,1422,398,null,null,45,4867272,2873997,398
Admin,2021-04-26,US,2221395,909054,1300188,241109013,145571780,92949773,1103814,2574599,1457004,null,null,1315579,145571780,101294543,1460823
Report,2021-04-26,US,null,null,null,null,null,null,null,null,null,2107046,2741021,null,null,null,null
Admin,2021-04-26,LTC,1362,983,377,7795201,4868255,2867205,994,1384,385,null,null,387,4868255,2874384,386
Admin,2021-04-27,US,2710998,1084607,1612064,243820011,146656387,94561837,1066378,2522390,1442680,null,null,1661069,146656387,102955612,1453375
Report,2021-04-27,US,null,null,null,null,null,null,null,null,null,1639215,2717062,null,null,null,null
Admin,2021-04-27,LTC,2689,1930,752,7797890,4870185,2867957,1001,1448,440,null,null,835,4870185,2875219,453
Admin,2021-04-28,US,2904498,1136805,1752421,246724509,147793192,96314258,1040239,2475544,1422303,null,null,1817023,147793192,104772635,1442100
Report,2021-04-28,US,null,null,null,null,null,null,null,null,null,2231745,2669644,null,null,null,null
Admin,2021-04-28,LTC,2538,1838,697,7800428,4872023,2868654,1037,1474,432,null,null,739,4872023,2875958,451
Admin,2021-04-29,US,2864734,1114681,1734756,249589243,148907873,98049014,1003899,2411388,1394642,null,null,1812514,148907873,106585149,1425445
Report,2021-04-29,US,null,null,null,null,null,null,null,null,null,2721079,2630407,null,null,null,null
Admin,2021-04-29,LTC,2512,1873,569,7802940,4873896,2869223,1066,1497,418,null,null,783,4873896,2876741,468
Admin,2021-04-30,US,2723414,1068731,1639130,252312657,149976604,99688144,969156,2356216,1374587,null,null,1723843,149976604,108308992,1417390
Report,2021-04-30,US,null,null,null,null,null,null,null,null,null,2799184,2548207,null,null,null,null
Admin,2021-04-30,LTC,1804,1313,424,7804744,4875209,2869647,1142,1581,417,null,null,521,4875209,2877262,480
Admin,2021-05-01,US,1714688,678164,1027524,254027345,150654768,100715668,925319,2298527,1360914,null,null,1085443,150654768,109394435,1411471
Report,2021-05-01,US,null,null,null,null,null,null,null,null,null,3303794,2546144,null,null,null,null
Admin,2021-05-01,LTC,107,76,29,7804851,4875285,2869676,1147,1583,413,null,null,31,4875285,2877293,477
Admin,2021-05-02,US,840684,325499,511657,254868029,150980267,101227325,902506,2282915,1368249,null,null,549925,150980267,109944360,1423628
Report,2021-05-02,US,null,null,null,null,null,null,null,null,null,2127998,2418580,null,null,null,null
Admin,2021-05-02,LTC,39,27,12,7804890,4875312,2869688,1149,1578,409,null,null,13,4875312,2877306,472
Admin,2021-05-03,US,1877671,636308,1229370,256745700,151616575,102456695,863542,2233812,1358132,null,null,1330341,151616575,111274701,1425736
Report,2021-05-03,US,null,null,null,null,null,null,null,null,null,1188734,2287393,null,null,null,null
Admin,2021-05-03,LTC,1245,836,406,7806135,4876148,2870094,1128,1562,413,null,null,504,4876148,2877810,489
Admin,2021-05-04,US,2356534,812646,1532282,259102234,152429221,103988977,824691,2183174,1346734,null,null,1630211,152429221,112904912,1421328
Report,2021-05-04,US,null,null,null,null,null,null,null,null,null,988846,2194483,null,null,null,null
Admin,2021-05-04,LTC,2142,1539,592,7808277,4877687,2870686,1072,1483,390,null,null,775,4877687,2878585,480
Admin,2021-05-05,US,2373414,806652,1555161,261475648,153235873,105544138,777526,2107305,1318554,null,null,1651460,153235873,114556372,1397676
Report,2021-05-05,US,null,null,null,null,null,null,null,null,null,1797771,2132487,null,null,null,null
Admin,2021-05-05,LTC,2421,1573,840,7810698,4879260,2871526,1034,1467,410,null,null,964,4879260,2879549,513
Admin,2021-05-06,US,2367632,778837,1569640,263843280,154014710,107113778,729548,2036291,1294966,null,null,1665579,154014710,116221951,1376686
Report,2021-05-06,US,null,null,null,null,null,null,null,null,null,2406932,2087608,null,null,null,null
Admin,2021-05-06,LTC,3271,2424,777,7813969,4881684,2872303,1113,1575,440,null,null,1053,4881684,2880602,551
Admin,2021-05-07,US,2361818,784861,1564245,266205098,154799571,108678023,688995,1984634,1284268,null,null,1660987,154799571,117882938,1367706
Report,2021-05-07,US,null,null,null,null,null,null,null,null,null,2805581,2088522,null,null,null,null
Admin,2021-05-07,LTC,2081,1273,803,7816050,4882957,2873106,1107,1615,494,null,null,1047,4882957,2881649,626
Admin,2021-05-08,US,1430595,484826,934941,267635693,155284397,109612964,661376,1944049,1271042,null,null,1004591,155284397,118887529,1356156
Report,2021-05-08,US,null,null,null,null,null,null,null,null,null,2567872,1983391,null,null,null,null
Admin,2021-05-08,LTC,69,44,22,7816119,4883001,2873128,1102,1609,493,null,null,22,4883001,2881671,625
Admin,2021-05-09,US,574937,206050,366362,268210630,155490447,109979326,644311,1906085,1250286,null,null,398094,155490447,119285623,1334466
Report,2021-05-09,US,null,null,null,null,null,null,null,null,null,2369784,2017931,null,null,null,null
Admin,2021-05-09,LTC,28,12,16,7816147,4883013,2873144,1100,1608,494,null,null,17,4883013,2881688,626
Admin,2021-05-10,US,1473401,468623,995524,269684031,155959070,110974850,620356,1848333,1216879,null,null,1071196,155959070,120356819,1297445
Report,2021-05-10,US,null,null,null,null,null,null,null,null,null,1882392,2117025,null,null,null,null
Admin,2021-05-10,LTC,1576,896,679,7817723,4883909,2873823,1109,1655,533,null,null,810,4883909,2882498,669
Admin,2021-05-11,US,1865538,631036,1224118,271549569,156590106,112198968,594412,1778190,1172856,null,null,1308073,156590106,121664892,1251425
Report,2021-05-11,US,null,null,null,null,null,null,null,null,null,1533180,2194787,null,null,null,null
Admin,2021-05-11,LTC,3272,2039,1225,7820995,4885948,2875048,1180,1816,623,null,null,1457,4885948,2883955,767
Admin,2021-05-12,US,1870560,647111,1212769,273420129,157237217,113411737,571621,1706354,1123943,null,null,1298731,157237217,122963623,1201035
Report,2021-05-12,US,null,null,null,null,null,null,null,null,null,1548283,2159146,null,null,null,null
Admin,2021-05-12,LTC,1949,1339,606,7822944,4887287,2875654,1147,1749,590,null,null,793,4887287,2884748,742
Admin,2021-05-13,US,2098689,886320,1201845,275518818,158123537,114613582,586975,1667934,1071401,null,null,1278273,158123537,124241896,1145706
Report,2021-05-13,US,null,null,null,null,null,null,null,null,null,1915642,2088962,null,null,null,null
Admin,2021-05-13,LTC,2772,1825,944,7825716,4889112,2876598,1061,1678,614,null,null,1324,4889112,2886072,781
Admin,2021-05-14,US,2285939,1053871,1220467,277804757,159177408,115834049,625405,1657094,1022289,null,null,1317319,159177408,125559215,1096611
Report,2021-05-14,US,null,null,null,null,null,null,null,null,null,1842180,1951333,null,null,null,null
Admin,2021-05-14,LTC,2002,1458,544,7827718,4890570,2877142,1088,1666,577,null,null,670,4890570,2886742,727
Admin,2021-05-15,US,1738596,877438,853298,279543353,160054846,116687347,681493,1701094,1010626,null,null,923434,160054846,126482649,1085017
Report,2021-05-15,US,null,null,null,null,null,null,null,null,null,2393676,1926448,null,null,null,null
Admin,2021-05-15,LTC,151,108,42,7827869,4890678,2877184,1097,1678,579,null,null,44,4890678,2886786,730
Admin,2021-05-16,US,851947,439816,407918,280395300,160494662,117095265,714888,1740667,1016563,null,null,445664,160494662,126928313,1091812
Report,2021-05-16,US,null,null,null,null,null,null,null,null,null,2093069,1886917,null,null,null,null
Admin,2021-05-16,LTC,350,334,16,7828219,4891012,2877200,1143,1724,579,null,null,18,4891012,2886804,730
